,Id,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
80,81,Bosnia and Herzegovina,81,1,77,9,"10,091",22,14,,,1,,1,4,1,1,79,74,8,11,"6,950","13,261",19,70,88,34,4,4,0,0,40,0,3,1,42,19,22,1,1,19,8,11,9,5,5,66,130,,4,,20,19,7,32,46,,,30,67,,25,5,2,365,30,65,12,1,13,6,13,7,1,13,1,20,1,6,1,34
81,82,The former Yugoslav Republic of Macedonia,82,1,76,9,"12,405",5,0,,,0,,1,3,1,1,78,73,9,10,"9,050","15,790",33,40,56,44,2,2,0,0,57,0,2,0,38,24,17,2,2,23,2,7,5,5,6,71,134,,2,,19,26,4,41,56,18,51,27,49,25,23,13,3,270,52,70,3,1,17,1,16,8,1,11,1,30,1,9,2,44
82,83,Algeria,83,1,75,8,"13,533",-1,3,1,1,1,1,1,5,1,1,78,73,7,9,"4,022","22,926",26,34,36,17,40,48,1,2,71,5,26,2,28,44,9,2,3,26,1,5,12,22,26,84,135,0,11,0,22,12,5,39,44,11,58,11,29,23,27,5,,98,64,38,28,,,,,19,1,,,,,,,
83,84,Armenia,84,1,75,11,"8,189",28,1,0,1,0,1,1,1,1,1,79,71,11,11,"5,535","11,258",11,99,98,55,3,3,0,0,63,0,2,0,35,26,15,2,2,35,3,3,21,13,14,70,170,,5,0,20,27,2,53,63,36,47,16,37,41,42,4,14,140,80,58,-12,1,9,15,9,10,1,4,1,14,1,5,1,32
84,85,Ukraine,84,1,71,11,"7,361",34,-1,0,1,0,0,1,1,1,1,76,66,11,11,"5,791","9,181",12,94,96,52,45,41,-1,0,70,3,31,7,40,21,22,1,2,20,10,21,4,8,9,111,292,,13,1,18,35,4,53,59,15,59,10,23,20,18,2,2,126,95,49,23,1,7,18,7,9,1,4,1,9,1,3,1,24
85,86,Jordan,86,1,74,10,"10,111",15,-6,1,0,0,1,1,5,1,1,76,73,10,11,"3,203","16,694",12,79,83,14,8,9,2,3,84,1,5,0,23,59,6,4,4,23,2,2,8,15,18,94,128,,0,,19,26,5,35,40,2,80,13,33,25,10,2,13,70,42,53,75,1,17,3,16,12,1,17,1,21,1,,,
86,87,Peru,87,1,75,9,"11,295",6,3,1,1,1,1,1,2,1,1,78,72,8,10,"8,939","13,655",22,56,67,66,31,37,1,1,79,3,21,2,28,43,11,3,3,68,2,11,15,13,17,96,154,1,7,0,21,11,3,72,74,,76,4,9,15,46,34,12,90,33,41,10,1,22,-8,21,14,1,20,1,30,1,11,2,44
87,88,Thailand,87,1,75,8,"14,519",-11,4,1,1,1,1,1,1,1,1,78,71,8,8,"12,938","16,145",6,41,46,63,68,68,1,0,50,4,49,7,38,25,15,2,2,12,1,1,16,11,12,105,207,1,11,1,21,4,6,71,71,42,38,1,5,14,56,8,2,90,82,39,17,1,21,-5,20,10,1,16,1,34,0,7,2,38
88,89,Ecuador,89,1,76,8,"10,536",6,7,0,1,1,1,1,1,1,1,79,73,8,8,"8,278","12,795",42,48,49,49,16,20,2,2,64,2,10,1,27,45,10,3,3,40,16,15,25,18,22,87,164,0,3,0,23,17,5,61,64,25,54,4,11,4,39,3,11,84,53,49,-19,1,21,-1,20,15,1,16,1,30,0,11,3,45
89,90,China,90,1,76,8,"13,345",-7,11,2,2,1,2,1,2,1,1,78,75,7,8,"10,705","15,830",24,70,79,64,"1,376","1,416",1,1,56,83,"1,000",131,37,24,13,2,2,28,1,1,9,9,11,72,98,0,3,,19,19,3,68,71,3,47,5,12,,,,15,128,74,50,48,,,,,9,1,,,30,1,9,2,42
90,91,Fiji,91,1,70,11,"8,245",20,6,1,0,1,1,,,,,73,67,11,10,"4,695","11,676",16,74,67,37,1,1,0,1,54,0,1,0,28,44,9,3,3,40,1,6,8,19,22,139,236,,5,,17,4,3,50,54,,,8,18,,39,,13,84,11,46,33,1,15,9,15,12,1,11,1,23,1,8,2,43
91,92,Mongolia,92,1,70,10,"10,449",4,8,0,2,1,1,1,2,1,1,74,66,10,10,"8,809","12,122",15,90,86,57,3,4,1,2,72,0,2,0,27,42,6,2,3,47,1,2,11,19,22,132,300,,2,0,18,28,3,58,63,35,47,7,15,2,51,15,7,120,100,21,13,1,13,13,13,17,1,9,1,12,1,5,1,32
92,93,Saint Lucia,92,1,75,9,"9,791",14,-8,,1,0,,1,1,1,1,78,73,9,9,"8,033","11,617",21,48,42,63,0,0,1,1,19,0,0,0,31,34,13,2,2,,1,1,3,13,14,110,168,,2,,21,1,4,56,70,,,20,47,,,4,,91,27,52,-9,1,16,7,16,10,1,9,1,27,1,,,
93,94,Jamaica,94,1,76,10,"8,350",16,-6,0,1,0,0,1,2,1,1,78,74,10,10,"6,628","10,086",17,67,59,58,3,3,1,0,55,0,2,0,29,35,14,3,2,24,3,8,6,14,16,101,166,,0,2,22,4,3,56,65,18,67,14,33,29,38,3,8,56,56,43,-4,1,17,6,16,12,1,6,1,30,0,,,
94,95,Colombia,95,1,74,8,"12,762",-10,6,1,1,1,1,1,1,1,1,78,71,8,8,"10,215","15,389",21,50,60,58,48,53,1,1,76,4,33,3,30,35,10,2,2,43,9,9,13,14,16,90,192,1,2,1,21,15,5,62,69,16,64,10,21,22,48,10,9,98,23,56,21,1,25,-9,24,14,1,17,1,39,0,17,4,54
95,96,Dominica,96,1,78,8,"10,096",6,-8,,0,0,,,,,,,,,,,,22,,,,0,0,0,0,70,,,,,,,,,,1,6,,20,21,,,,3,,,16,4,,,,,,,,,,,84,39,68,-28,,,,,,,,,,,,,
96,97,Suriname,97,1,71,8,"16,018",-27,1,,,1,,1,2,1,1,75,68,8,9,"10,501","21,512",26,58,57,41,1,1,1,1,66,0,0,0,29,40,10,3,2,3,9,15,9,19,21,121,222,1,2,1,19,9,3,50,55,3,73,8,19,,13,4,,0,,43,82,1,24,-7,23,14,1,19,1,37,0,,,
97,98,Tunisia,97,1,75,7,"10,249",3,-5,1,1,0,1,1,4,1,1,77,73,7,8,"4,662","15,967",31,38,50,25,11,13,1,1,67,1,8,1,31,34,11,2,2,9,2,2,10,12,14,73,126,,2,0,20,12,4,41,48,15,52,15,35,25,22,2,5,30,69,49,24,1,23,-3,22,12,1,35,0,19,1,6,2,36
